0.00000 2.16970
0.01010 0.17048
0.02020 -0.83372
0.03030 -2.44743
0.04040 -1.67188
0.05051 -1.38262
0.06061 -1.05884
0.07071 -0.92285
0.08081 -2.54599
0.09091 -2.02467
0.10101 -1.94877
0.11111 -1.89872
0.12121 -2.65347
0.13131 -2.65234
0.14141 -1.71909
0.15152 -2.65070
0.16162 -3.94178
0.17172 -1.87626
0.18182 -2.39820
0.19192 -0.47185
0.20202 -0.05105
0.21212 -2.71324
0.22222 -2.29280
0.23232 -2.54728
0.24242 -0.87963
0.25253 -0.36783
0.26263 -0.11317
0.27273 -2.00823
0.28283 -0.35035
0.29293 0.03673
0.30303 -2.73254
0.31313 -0.53621
0.32323 -1.83922
0.33333 -0.76582
0.34343 0.90272
0.35354 -0.93620
0.36364 -1.29286
0.37374 -1.08259
0.38384 -0.11795
0.39394 0.05096
0.40404 1.98104
0.41414 0.70199
0.42424 0.26213
0.43434 0.36505
0.44444 -0.17028
0.45455 -0.14245
0.46465 1.13516
0.47475 1.31214
0.48485 0.51966
0.49495 -0.46691
0.50505 2.00247
0.51515 0.15796
0.52525 1.39781
0.53535 0.37350
0.54545 1.08189
0.55556 1.35558
0.56566 1.34570
0.57576 -0.17483
0.58586 0.95889
0.59596 2.26978
0.60606 1.24045
0.61616 2.81828
0.62626 3.30837
0.63636 3.62478
0.64646 1.34821
0.65657 1.95916
0.66667 -0.12741
0.67677 0.52851
0.68687 -0.64510
0.69697 0.06909
0.70707 0.63411
0.71717 0.14185
0.72727 1.05864
0.73737 -0.22884
0.74747 1.34563
0.75758 0.64431
0.76768 -0.35859
0.77778 -0.25058
0.78788 -1.15505
0.79798 0.32552
0.80808 0.24620
0.81818 1.19042
0.82828 -0.99161
0.83838 -0.87802
0.84848 -0.16783
0.85859 0.21787
0.86869 -0.96406
0.87879 0.62938
0.88889 0.53239
0.89899 0.47871
0.90909 0.21041
0.91919 -0.43789
0.92929 -1.08379
0.93939 0.84231
0.94949 -0.73547
0.95960 1.92103
0.96970 -0.65755
0.97980 2.58657
0.98990 1.14426
1.00000 0.16435
