1959   1  315.42
1959   2  316.32
1959   3  316.49
1959   4  317.56
1959   5  318.13
1959   6  318.00
1959   7  316.39
1959   8  314.66
1959   9  313.68
1959  10  313.18
1959  11  314.66
1959  12  315.43
1960   1  316.27
1960   2  316.81
1960   3  317.42
1960   4  318.87
1960   5  319.87
1960   6  319.43
1960   7  318.01
1960   8  315.75
1960   9  314.00
1960  10  313.68
1960  11  314.84
1960  12  316.03
1961   1  316.73
1961   2  317.54
1961   3  318.38
1961   4  319.31
1961   5  320.42
1961   6  319.61
1961   7  318.42
1961   8  316.64
1961   9  314.83
1961  10  315.15
1961  11  315.95
1961  12  316.85
1962   1  317.78
1962   2  318.40
1962   3  319.53
1962   4  320.41
1962   5  320.85
1962   6  320.45
1962   7  319.44
1962   8  317.25
1962   9  316.12
1962  10  315.27
1962  11  316.53
1962  12  317.53
1963   1  318.58
1963   2  318.92
1963   3  319.70
1963   4  321.22
1963   5  322.08
1963   6  321.31
1963   7  319.58
1963   8  317.61
1963   9  316.05
1963  10  315.83
1963  11  316.91
1963  12  318.20
1964   1  319.41
1964   2  320.07
1964   3  320.74
1964   4  321.40
1964   5  322.06
1964   6  321.73
1964   7  320.27
1964   8  318.54
1964   9  316.54
1964  10  316.71
1964  11  317.53
1964  12  318.55
1965   1  319.27
1965   2  320.28
1965   3  320.73
1965   4  321.97
1965   5  322.00
1965   6  321.71
1965   7  321.05
1965   8  318.71
1965   9  317.65
1965  10  317.14
1965  11  318.71
1965  12  319.25
1966   1  320.46
1966   2  321.43
1966   3  322.22
1966   4  323.54
1966   5  323.91
1966   6  323.59
1966   7  322.26
1966   8  320.21
1966   9  318.48
1966  10  317.94
1966  11  319.63
1966  12  320.87
1967   1  322.17
1967   2  322.34
1967   3  322.88
1967   4  324.25
1967   5  324.83
1967   6  323.93
1967   7  322.39
1967   8  320.76
1967   9  319.10
1967  10  319.23
1967  11  320.56
1967  12  321.80
1968   1  322.40
1968   2  322.99
1968   3  323.73
1968   4  324.86
1968   5  325.41
1968   6  325.19
1968   7  323.97
1968   8  321.92
1968   9  320.10
1968  10  319.96
1968  11  320.97
1968  12  322.48
1969   1  323.52
1969   2  323.89
1969   3  325.04
1969   4  326.01
1969   5  326.67
1969   6  325.96
1969   7  325.13
1969   8  322.90
1969   9  321.61
1969  10  321.01
