  55   2      0
  56   4      0
  57  11      0
  58  19      0
  59  31      1
  60  48      1
  61  58      3
  62  72      2
  63  84      0
  64 100      4
  65 106      1
  66 114      1
  67 129      3
  68 132      5
  69 136     11
  70 135      6
  71 143     12
  72 140     10
  73 144     11
  74 149      6
  75 154     16
  76 150     24
  77 139      8
  78 145     16
  79 140     13
  80 137     19
  81 136     21
  82 126     23
  83 126     26
  84 109     26
  85  91     23
  86  77     21
  87  66     16
  88  54     12
  89  49     15
  90  39      9
  91  31      7
  92  27      6
  93  22      7
  94  15      2
  95  12      3
  96   8      4
  97   4      1
  98   3      2
  99   1      1
