1978.995 0 29
1979.003 0 0
1979.019 1 60
1979.030 1 45
1979.077 0 11
1979.085 0 1
1979.192 0 20
1979.203 0 105
1979.230 0 85
1979.241 1 66
1979.696 0 162
1979.710 0 50
1979.718 0 44
1979.732 0 19
1979.756 0 24
1979.767 0 8
1979.789 0 24
1979.795 0 46
1979.819 0 54
1979.830 0 6
1979.849 0 23
1979.852 0 61
1979.918 0 1
1979.926 0 7
1979.953 0 4
1979.959 0 115
1979.995 0 17
1980.000 0 15
1980.014 0 15
1980.025 1 2
1980.074 0 54
1980.082 0 24
1980.090 0 63
1980.159 0 30
1980.164 1 58
1980.184 0 4
1980.214 1 150
1980.225 0 153
1980.660 1 56
1980.668 1 21
1980.912 0 36
1980.951 0 10
1980.986 0 45
1980.995 0 9
1981.008 0 31
1981.063 0 57
1981.071 0 7
1981.107 0 124
1981.115 0 9
1981.468 0 63
1981.471 0 20
1981.507 0 64
1981.515 1 12
1981.542 0 8
1981.553 0 0
1981.578 0 2
1981.586 0 40
1981.619 0 11
1981.627 1 123
1981.658 1 106
1981.666 0 84
1981.868 0 3
1981.874 0 37
1981.910 0 36
1981.951 0 7
1981.953 0 1
1981.986 0 4
1981.992 0 66
1982.011 1 53
1982.016 0 9
1982.082 0 78
1982.090 0 126
1982.195 0 0
1982.205 0 38
1982.214 0 6
1982.729 1 55
1982.737 0 8
1982.753 0 9
1982.759 0 31
1982.786 0 9
1982.797 0 6
1982.871 0 8
1982.879 1 32
1982.907 0 0
1982.918 0 15
1982.945 0 26
1982.989 0 2
1982.995 1 62
1983.008 0 89
1983.016 0 83
1983.310 1 47
1983.866 0 32
1983.904 0 118
1983.940 1 117
1983.951 0 66
1983.992 0 32
1984.014 0 64
1984.170 0 5
1984.178 0 54
1984.208 1 98
1984.219 1 100
1984.244 0 38
1984.258 0 8
1984.266 0 98
1984.277 0 19
1984.323 0 41
1984.329 1 60
1984.860 0 15
1984.863 0 6
1984.896 0 17
1984.901 0 24
1984.940 0 21
1984.945 0 18
1984.981 0 35
1984.989 0 41
1985.000 0 69
1985.449 0 32
1985.460 0 8
1985.493 0 196
1985.501 1 41
1985.532 0 23
1985.584 0 8
1985.597 1 146
1985.622 0 45
1985.633 0 2
1985.663 0 38
1985.671 0 58
1985.855 0 1
1985.863 1 152
1985.896 0 20
1985.904 0 11
1985.915 0 12
1985.923 0 83
1985.951 0 49
1985.986 0 11
1985.995 0 163
1986.014 0 71
1986.016 0 4
1986.142 0 13
1986.162 0 140
1986.173 1 114
1986.197 0 17
1986.205 0 6
1986.718 0 106
1986.723 0 27
1986.789 0 46
1986.800 1 66
1986.877 0 7
1986.882 0 23
1986.915 0 125
1986.923 0 16
1986.951 0 70
1986.959 1 100
1986.986 0 15
1986.992 0 34
1987.027 0 34
1987.033 0 49
1987.929 0 9
1987.951 0 205
1987.989 0 31
1987.997 0 43
1988.085 0 2
1988.090 1 48
1988.118 0 88
1988.712 0 4
1988.721 0 18
1988.734 1 113
1988.767 0 75
1988.775 0 20
1988.882 0 4
1988.888 0 41
1988.926 0 6
1988.932 0 26
1988.986 0 0
1988.995 0 20
1989.077 0 75
1989.082 1 16
1989.093 0 64
1989.104 1 6
1989.436 0 66
1989.447 1 60
1989.477 0 35
1989.488 0 1
1989.512 0 8
1989.575 0 80
1989.611 1 65
1989.647 0 76
1989.660 1 51
1989.899 0 50
1989.937 0 56
1989.959 0 24
1989.964 0 85
1990.025 0 24
1990.030 1 62
1990.055 0 13
1990.063 0 8
1990.107 1 27
1990.203 0 1
1990.211 1 78
1990.899 0 9
1990.992 0 62
1991.011 0 78
1991.022 0 20
1991.068 0 12
1991.077 1 83
1991.090 0 17
1991.167 0 31
1991.225 0 47
1991.238 0 34
1991.260 0 43
1991.274 1 27
1991.301 0 29
1991.312 0 0
1991.321 0 59
1991.326 0 5
1991.915 0 28
1991.989 0 0
1991.995 1 5
1992.005 0 19
1992.016 1 53
1992.068 0 0
1992.077 1 91
1992.088 0 59
1992.096 1 20
1992.627 0 3
1992.638 0 15
1992.658 0 13
1992.668 0 28
1992.688 0 106
1992.699 0 78
1992.907 0 73
1992.915 0 17
1992.989 0 110
1992.995 0 4
1993.008 0 74
1993.066 0 19
1993.071 0 1
1993.082 0 0
1993.088 0 0
1993.156 0 88
1993.181 0 30
1993.195 0 0
1993.200 0 71
1993.422 0 17
1993.430 0 31
1993.463 0 77
1993.504 0 38
1993.512 0 2
1993.559 1 200
1993.597 0 3
1993.636 0 48
1993.644 0 17
1993.866 0 16
1993.907 0 60
1993.929 0 105
1993.995 0 2
1994.008 0 49
1994.014 0 7
1994.079 0 84
1994.085 0 4
1994.175 0 34
1994.184 0 14
1994.214 0 45
1994.230 0 17
1994.241 1 42
